Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_SOD-123,83.4241,-122.2829,90.0,bottom
D10,D_Small,D_SOD-123,254.8741,-122.2829,90.0,bottom
D11,D_Small,D_SOD-123,273.9241,-122.2829,90.0,bottom
D12,D_Small,D_SOD-123,292.9741,-122.2829,90.0,bottom
D13,D_Small,D_SOD-123,312.0241,-122.2829,90.0,bottom
D14,D_Small,D_SOD-123,340.5991,-122.2829,90.0,bottom
D15,D_Small,D_SOD-123,88.1866,-141.3329,90.0,bottom
D16,D_Small,D_SOD-123,111.9991,-141.3329,90.0,bottom
D17,D_Small,D_SOD-123,131.0491,-141.3329,90.0,bottom
D18,D_Small,D_SOD-123,150.0991,-141.3329,90.0,bottom
D19,D_Small,D_SOD-123,169.1491,-141.3329,90.0,bottom
D2,D_Small,D_SOD-123,102.4741,-122.2829,90.0,bottom
D20,D_Small,D_SOD-123,188.1991,-141.3329,90.0,bottom
D21,D_Small,D_SOD-123,207.2491,-141.3329,90.0,bottom
D22,D_Small,D_SOD-123,226.2991,-141.3329,90.0,bottom
D23,D_Small,D_SOD-123,245.3491,-141.3329,90.0,bottom
D24,D_Small,D_SOD-123,264.3991,-141.3329,90.0,bottom
D25,D_Small,D_SOD-123,283.4491,-141.3329,90.0,bottom
D26,D_Small,D_SOD-123,302.4991,-141.3329,90.0,bottom
D27,D_Small,D_SOD-123,321.5491,-141.3329,90.0,bottom
D28,D_Small,D_SOD-123,345.3616,-141.3329,90.0,bottom
D29,D_Small,D_SOD-123,90.56785,-160.3829,90.0,bottom
D3,D_Small,D_SOD-123,121.5241,-122.2829,90.0,bottom
D30,D_Small,D_SOD-123,116.7616,-160.3829,90.0,bottom
D31,D_Small,D_SOD-123,135.8116,-160.3829,90.0,bottom
D32,D_Small,D_SOD-123,154.8616,-160.3829,90.0,bottom
D33,D_Small,D_SOD-123,173.9116,-160.3829,90.0,bottom
D34,D_Small,D_SOD-123,192.9616,-160.3829,90.0,bottom
D35,D_Small,D_SOD-123,212.0116,-160.3829,90.0,bottom
D36,D_Small,D_SOD-123,231.0616,-160.3829,90.0,bottom
D37,D_Small,D_SOD-123,250.1116,-160.3829,90.0,bottom
D38,D_Small,D_SOD-123,269.1616,-160.3829,90.0,bottom
D39,D_Small,D_SOD-123,288.2116,-160.3829,90.0,bottom
D4,D_Small,D_SOD-123,140.5741,-122.2829,90.0,bottom
D40,D_Small,D_SOD-123,307.2616,-160.3829,90.0,bottom
D41,D_Small,D_SOD-123,338.21785,-160.3829,90.0,bottom
D42,D_Small,D_SOD-123,95.33035,-179.4329,90.0,bottom
D43,D_Small,D_SOD-123,126.2866,-179.4329,90.0,bottom
D44,D_Small,D_SOD-123,145.3366,-179.4329,90.0,bottom
D45,D_Small,D_SOD-123,164.3866,-179.4329,90.0,bottom
D46,D_Small,D_SOD-123,183.4366,-179.4329,90.0,bottom
D47,D_Small,D_SOD-123,202.4866,-179.4329,90.0,bottom
D48,D_Small,D_SOD-123,221.5366,-179.4329,90.0,bottom
D49,D_Small,D_SOD-123,240.5866,-179.4329,90.0,bottom
D5,D_Small,D_SOD-123,159.6241,-122.2829,90.0,bottom
D50,D_Small,D_SOD-123,259.6366,-179.4329,90.0,bottom
D51,D_Small,D_SOD-123,278.6866,-179.4329,90.0,bottom
D52,D_Small,D_SOD-123,297.7366,-179.4329,90.0,bottom
D53,D_Small,D_SOD-123,333.45535,-179.4329,90.0,bottom
D54,D_Small,D_SOD-123,85.80535,-198.4829,90.0,bottom
D55,D_Small,D_SOD-123,109.61785,-198.4829,90.0,bottom
D56,D_Small,D_SOD-123,133.43035,-198.4829,90.0,bottom
D57,D_Small,D_SOD-123,204.86785,-198.4829,90.0,bottom
D58,D_Small,D_SOD-123,276.30535,-198.4829,90.0,bottom
D59,D_Small,D_SOD-123,300.11785,-198.4829,90.0,bottom
D6,D_Small,D_SOD-123,178.6741,-122.2829,90.0,bottom
D60,D_Small,D_SOD-123,323.93035,-198.4829,90.0,bottom
D61,D_Small,D_SOD-123,347.74285,-198.4829,90.0,bottom
D7,D_Small,D_SOD-123,197.7241,-122.2829,90.0,bottom
D8,D_Small,D_SOD-123,216.7741,-122.2829,90.0,bottom
D9,D_Small,D_SOD-123,235.8241,-122.2829,90.0,bottom
U4,YAAJ_BluePill,YAAJ_BluePill_1,96.2425,-87.97,90.0,top
